Counter,InCukes,Order-current,Family-current,Subfamily,Genus-orig,Subgenus-orig,Species-orig,Region: type,other regions,Not Description,Author,Year,ref,Genus-current,Subgenus-current,species-current,ESU,Comment on sp,ZooBank LSID,Available?,Valid?,Status (WoRMS),UnacceptedReason,InUse,Have/seq'd,Known from,NotValidorAvailRef,ValRef,synonymy by,generic reassignement,other refs,Have description?,Checked?,Notes-keep,Notes,pp.,fig.,type loc,Depth,Depth_2,unit,Type type,Repository,Cat No,type notes,Museum,Type of type,Catalog number,Source,Range,RangeSource,Depthrange1,Depthrange2,Depthunits,Depthsource,Smiley_old_AuthorityAndDate,Notes: ,"from Smiley-Pawson, extracted automatically by Alex 2006, getting edited by me in temporal order"
7,no,Aspidochirotida,Holothuriidae,,Holothuria,,tremula,EA-N,,,Linnaeus,1767,1767a,Holothuria,Holothuria,tubulosa,,,,yes,no,unaccepted,,no,,,jr homonym,,ICZN Opinion 80,,,pdf,yes,"refers to H. tremula Gunnerus and Hydra of Bohadsch; former is P. tremulus, latter could be H. tubulosa; Gmelin lists Linnaeus' 176 H. tremula under H. tubulosa.  So two species in original indication, but generally accepted to refer to H. tubulosa, even though L's name and locality (Norway) both contradict this.  It is in this interpretation that tremula is taken as type of Holothuria (ICZN Opinion 80), likely based on Bruguiere 1791 as suggeested by ICZN (not yet checked).",,1090,,Oceano Norvegico,,,,,,,,,,,,,,,,,,,,
22,yes,Aspidochirotida,Holothuriidae,,Holothuria,,tubulosa,EA-Med,,,Gmelin,1791,1791a,Holothuria,Holothuria,tubulosa,1,,,yes,yes,accepted,,yes,y/y,,,"Hansson, 2001a",,,,pdf,yes,,"lots of literature cited, so could have earlier origin?; 1788 inSmiley, but vol. 6, which is dated 1791",3138-3139,none,,,,,,,,,,,,,,,,,,,,,
34,no,Aspidochirotida,Holothuriidae,,Holothuria,,columnae,EA-Med,,,de Blainville,1821,1821a,Holothuria,Holothuria,tubulosa,,,,yes,no,unaccepted,,no,,,,,Hansson 2001a,,,pdf,yes,"first validly named by de Blainville, although attributed to Cuvier (see under Cuvier) and also listed as new by Delle Chiaje",,316,,,,,,,,,,,,,,,,,,,,,,
38,no,Aspidochirotida,Holothuriidae,,Holothuria,,Cavolini,EA-Med,,,Delle Chiaje,1824,1824a,Holothuria,Holothuria,tubulosa,,,,yes,no,unaccepted,,no,,,,,Hansson 2001a,,,pdf,yes,,a poorly known species; attributed to synonym of Patastichopus regalis by Semper 1868 according to Clark & Rowe 1967a,112 (also 81),"pl. 7, fig. 1; pl. 9, fig. 7","Napoli, negli scogli di questa Capitale",,,,syntypes,,,,,,,,,,,,,,,,
39,no,Aspidochirotida,Holothuriidae,,Holothuria,,Columnae,EA-Med,,,Delle Chiaje,1824,1824a,Holothuria,Holothuria,tubulosa,,,,yes,no,unaccepted,,no,,,,,Hansson 2001a,,,pdf,yes,"junior homonym and objective synonym of Holothuria columnae Blainville 1821, both provide same refs as indication; noted as a new species (Nobis) though",,111,"pl. 8, fig. 6, pl. 9, fig. 6",,,,,syntypes,,,,,,,,,,,,,,,,
41,no,Aspidochirotida,Holothuriidae,,Holothuria,,Petagnae,EA-Med,,,Delle Chiaje,1824,1824a,Holothuria,Holothuria,tubulosa,,,,yes,no,unaccepted,,no,,,,,Hansson 2001a,,,pdf,yes,,,112 (also 82),"pl. 9, fig. 4","Napoli, fuori la nostra rada",,,,syntypes,,,,,,,,,,,,,,,,
2265,yes,Aspidochirotida,Holothuriidae,,Holothuria,Lessonothuria,cavans,IWP,,,Massin & Tomascik,1996,1996a,Holothuria,Lessonothuria,cavans,1,,,yes,yes,accepted,,yes,y/y,,,post 1990,,,,pdf,yes,,,160-165,"figs. 2-4, pl. 1A","Kakaban Island anchialine lagoon, off East Kalimantan",,,,holotype,IRSNB,IRSNB IG 28156/2/7,,,,,,,,,,,,,,
1406,yes,Aspidochirotida,Holothuriidae,,Holothuria,,cumulus,IWP,,,Clark,1921,1921a,Holothuria,Lessonothuria,cumulus,need,,,yes,yes,accepted,,yes,,,,"Rowe, 1969",,"Rowe, 1969",,original & scan,yes,,,176,"pl 38, fig 14-19a","Mer, Murray Islands, Torres Strait",,,,holotype,MCZ,MCZ 1019,type number from Rowe & Gates (1995),MCZ,holotype,1019,,,,,,,,"Clark, 1921",,
2156,yes,Aspidochirotida,Holothuriidae,,Holothuria,Lessonothuria,duoturricula,IWP,,,Cherbonnier,1988,1988a,Holothuria,Lessonothuria,duoturricula,need,,,yes,yes,accepted,,yes,n/n,,,post 1980,,,,"pdf, scan",yes,,,119-121,fig 48 a-n,"Madagascar, Nosy Be (beach of Ambatoloaka)",,,,holotype,MNHN,,,Paris Museum,holotype,,,,,,,,,,"from aspido-web, not Smiley Pawson",
1826,yes,Aspidochirotida,Holothuriidae,,Holothuria,,glandifera,IWP,,,Cherbonnier,1955,1955d,Holothuria,Lessonothuria,glandifera,1,,,yes,yes,accepted,,,,,,GP pers obs,,,,xerox,yes,based on juvs; suspected to be pardalis synonym by Rowe 1969,,319-322,"fig 1 a-s, fig 2 a-p",Tahiti,,,,syntypes,,,,Paris Museum,syntypes,,,,,,,,,"Cherbonnier, 1955",,
393,yes,Aspidochirotida,Holothuriidae,,Holothuria,,immobilis,IWP,,,Semper,1868,1868a,Holothuria,Lessonothuria,immobilis,1,,,yes,yes,accepted,,no,y/y,,,,,,,"scan, xerox",yes,,,90-91,"pl 29; pl 30, fig 27; pl 35, fig 8","Bohol, Canal von Lapinig",6,8,fathoms,,,,,,,,,,,,,,,"Semper, 1868",,
462,yes,Aspidochirotida,Holothuriidae,,Holothuria,,insignis,IWP,,,Ludwig,1875,1875a,Holothuria,Lessonothuria,insignis,1,,,yes,yes,accepted,,,,,,current,,,,"pdf, xerox",yes,,,106,fig 28,"Bowen, Australia",,,,syntypes,,,,Hamburg Museum,syntypes,,,,,,,,,"Ludwig, 1874",,
464,yes,Aspidochirotida,Holothuriidae,,Holothuria,,lineata,IWP,,,Ludwig,1875,1875a,Holothuria,Lessonothuria,lineata,1,,,yes,yes,accepted,,yes,,,,current,,,,"pdf, xerox",yes,,,103,fig 42,Bowen,,,,syntypes,,,,,,,,,,,,,,"Ludwig, 1874",,
1312,yes,Aspidochirotida,Holothuriidae,,Holothuria,,maculosa,IWP,,,Pearson,1913,1913a,Holothuria,Lessonothuria,maculosa,,,,yes,yes,accepted,,,,,,Cherbonnier & Feral 1984a,,,,"scan, pdf",yes,looks like a Lessonothuria to me,"attributed to Theelothuria by Rowe, 1969, but ossicles look like Lessonothuria, and a specimen so identified by Samyn sequenced out as Lessonothuria lineata",53-54,Pl. VI. Fig. 3,"Aldabra, near Ile d'Esprit",,,,holotype,,,holotype by monotypy,,,,,,,,,,,"Pearson, 1913",,
2021,yes,Aspidochirotida,Holothuriidae,,Holothuria,Lessonothuria,multipilula,IWP,,,Liao,1975,1975a,Holothuria,Lessonothuria,multipilula,,,,yes,yes,accepted,,,,,,,,,,pdf,yes,in Chinese,,217-218,fig. 18,,,,,,,,,,,,,,,,,,,,"from aspido-web, not Smiley Pawson",
269,yes,Aspidochirotida,Holothuriidae,,Holothuria,,pardalis,IWP,EP,,Selenka,1867,1867a,Holothuria,Lessonothuria,pardalis,1,,,yes,yes,accepted,,yes,y/y,,,"Massin, 1999a",,,,xerox & scan,yes,,,336-337,"pl 19, fig 85",Sandwich Islands & Zanzibar,,,,syntypes,,,,Göttingen Museum; MCZ,syntypes,"unk; 676, 677",,,,,,,,"Selenka, 1867",,
469,no,Aspidochirotida,Holothuriidae,,Holothuria,,peregrina,IWP,,,Ludwig,1875,1875a,Holothuria,Lessonothuria,pardalis,,,,yes,no,unaccepted,,no,,,,,Rowe & Gates 1995a,,,"pdf, xerox",yes,,,105-106,fig 30,"Bowen, Australia",,,,holotype,,,,Hamburg Museum,holotype,,,,,,,,,"Ludwig, 1874",,
1309,no,Aspidochirotida,Holothuriidae,,Holothuria,,tenuicornis,IWP,,,Helfer,1913,1913a,Holothuria,Lessonothuria,pardalis,,,,yes,no,unaccepted,,no,,,,,,,,pdf,yes,"check synonymy; Erwe (1919) shows what I think are Helfer's specimens, and they suggest insignis",,434-435,figs - check German,Ras el Millan (Sinaiküste),,,,,,,,Berlin Museum,syntypes,,,,,,,,,"Helfer, 1913",,
537,no,Aspidochirotida,Holothuriidae,,Labidodemas,,punctulatum,IWP,,,Haacke,1880,1880a,Holothuria,Lessonothuria,pardalis or lineata,,,,yes,no,unaccepted,,no,,,,,"Panning 1935, Ludwig 1883",,,"pdf, xerox",yes,"lineata according to Ludwig, 1883 (seen), but pardalis in Panning 1835, according to Massin et al 2004a",,47,none,Mauritius,,,,,"Zoological Museum, Kiel",,,,,,,,,,,,,"Haacke, 1880",,
2377,yes,Aspidochirotida,Holothuriidae,,Holothuria,Lessonothuria,tuberculata,SAfr,,,Thandar,2007,2007a,Holothuria,Lessonothuria,tuberculata,,,,yes,yes,accepted,,,,,,post 2000,,,,pdf,yes,,,20-22,fig. 8,"Isipingo Beach, KZN, rock pool, under stone",,,,holotype,SAM,SAM-A27930,,,,,,,,,,,,,,
279,yes,Aspidochirotida,Holothuriidae,,Holothuria,,verrucosa,IWP,,,Selenka,1867,1867a,Holothuria,Lessonothuria,verrucosa,1,,,yes,yes,accepted,,yes,y/y,,,current,,,,xerox & scan,yes,,,338-339,"pl 19, fig 88",Sandwich Islands,,,,holotype,,,,MCZ,holotype,735,,,,,,,,"Selenka, 1867",,
454,no,Aspidochirotida,Holothuriidae,,Holothuria,,caesarea,IWP,,,Ludwig,1875,1875a,Holothuria,Lessonothuria,verrucosa,,,,yes,no,unaccepted,,no,,,,,Rowe & Gates 1995a,,,"pdf, xerox",yes,,,103-104,fig 39,"Abia, Upolu, Samoa",,,,holotype,,,,Hamburg Museum,holotype,,,,,,,,,"Ludwig, 1874",,
530,no,Aspidochirotida,Holothuriidae,,Holothuria,,collaris,IWP,,,Haacke,1880,1880a,Holothuria,Lessonothuria,verrucosa,,,,yes,no,unaccepted,,no,,,,,"Ludwig, 1883 (as H. immobilis), who reexamined and pronounced synonymies on all Haacke's collection at Kieler Museum",,,"pdf, xerox",yes,"This may be a valid name for IO verrucosa; someone else had it in the synonymy of verrucosa, presumably based on the assumption that immobilis is verrucosa","I think this will be the valid name of the IO verrucosa.  Note this was synonymized into H. immobilis by Ludwig, 1883, who reexamined and pronounced synonymies on all Haacke's collection at Kieler Museum",48,none,Mauritius,,,,,"Zoological Museum, Kiel",,type location according to Ludwig 1883,,,,,,,,,,,"Haacke, 1880",,
2153,yes,Aspidochirotida,Holothuriidae,,Holothuria,Mertensiothuria,albofusca,IWP,,,Cherbonnier,1988,1988a,Holothuria,Mertensiothuria,albofusca,need,,,yes,yes,accepted,,yes,,,,Samyn & Massin 2003a,,,,"pdf, scan",yes,,,114-116,fig 46 a-o,"Madagascar, Nosy Be (Navetsy)",,,,holotype,MNHN,,,Paris Museum,"holotype, paratype",,,,,,,,,,"from aspido-web, not Smiley Pawson",
640,yes,Aspidochirotida,Holothuriidae,,Holothuria,,aphanes,IWP,,,Lampert,1885,1885a,Holothuria,Mertensiothuria,aphanes,need,,,yes,yes,accepted,,yes,,,,Samyn & Massin 2003a,,Samyn & Massin 2003a,,pdf,yes,,,242,,Kosseir [Egypt],,,,,Stuttg. Nat.-Kab.,,SMNK collection apparently destroyed in WWII,,,,,,,,,,,"Lampert, 1885",,
2311,yes,Aspidochirotida,Holothuriidae,,Holothuria,Mertensiothuria,arenacava,IWP,,,"Samyn, Massin & Muthiga",2001,2001a,Holothuria,Mertensiothuria,arenacava,,=isuga,,yes,yes,accepted,,yes,,,,Samyn & Massin 2003a,Paulay unpublished: isuga,,,xerox,yes,jr syn of isuga,,102-107,fig 1-3,Mombasa Marine Reserve off the Reef Hotel (Map 1),11,,m,holotype,IRSNB,IG 28628/KMom/9897-6,,Brussels Museum; London Museum,"holotype, paratypes; paratype",,,,,,,,,,"from aspido-web, not Smiley Pawson",
2109,yes,Aspidochirotida,Holothuriidae,,Holothuria,Mertensiothuria,artensis,IWP,,,Cherbonnier & Féral,1984,1984a,Holothuria,Mertensiothuria,artensis,need,"type missing, ID needs checking",,yes,yes,accepted,,no,,,,post 1980,,,,pdf & RP,yes,"discussed by Samyn & Massin 2003a, who leave it without assignment of subgenus because type could not be located; on website Samyn et al propose to regard it as nomen dubium",,678-680,fig 9 a-m; pl 1 b,"Art Island, Belep Archipelago",,,,holotype,,,,Paris Museum,holotype,,,,,,,,,"Cherbonnier & Féral, 1984",,
705,yes,Aspidochirotida,Holothuriidae,,Holothuria,,fusco-rubra,IWP,,,Théel,1886,1886a,Holothuria,Mertensiothuria,fuscorubra,1,,,yes,yes,accepted,,yes,y/y,,,Samyn & Massin 2003a,,,,pdf,yes,,,182,"pl VII, fig 2",Sandwich Islands,,,,holotype,,,,London Museum,holotype,,,,,,,,,"Théel, 1886",,
73,yes,Aspidochirotida,Holothuriidae,,Holothuria,Fistularia,hilla,IWP,EP,,Lesson,1830,1830a,Holothuria,Mertensiothuria,hilla,4,,,yes,yes,accepted,,yes,y/y,,,On Official List: ICZN Op 1914,,Samyn & Massin 2003,,pdf,yes,"ICZN Op. 914: placed on the Official List of Specific Names in Zoology.  illustrated specimen looks more like H. impatiens ESU 2, with tiger stripes, that are emphasized by Lesson; currently recognized holotype is that of hilla - potentially mixed up.  However description is sufficiently ambiguous that mixup could be in either direction.  Recognizing current type as that would fix concept to what is presently understood.",,226,pl. 79,Bora Bora,,,,,MNHN,,see Cherbonnier 1951c,Paris Museum,holotype,,,,,,,,,,,
106,no,Aspidochirotida,Holothuriidae,,Holothuria,,fuscopunctata,IWP,,,Quoy & Gaimard,1834,1833a,Holothuria,Mertensiothuria,hilla,,,,yes,no,unaccepted,,no,,,,,Cherbonnier 1952c,,,pdf,yes,"junior homonym of H. fuscopunctata Jaeger, 1833",,132-133,,New Ireland,,,,,type (MNHN) lost (Cherbonnier 1952c),,,,,,,,,,,,,,,
290,no,Aspidochirotida,Holothuriidae,,Stichopus,,gyrifer,IWP,,,Selenka,1867,1867a,Holothuria,Mertensiothuria,hilla,,,,yes,no,unaccepted,,no,,,,,Panning 1935a,,,xerox & scan,yes,,,319,,Australia & Sandwich Islands & Zanzibar,,,,syntypes,,,,Göttingen Museum; MCZ,"syntype; holotype, syntype","unk; 1535, 761, 762, 1417, 1352, 1353",,,,,,,,"Selenka, 1867",,
535,no,Aspidochirotida,Holothuriidae,,Labidodemas,,leucopus,IWP,,,Haacke,1880,1880a,Holothuria,Mertensiothuria,hilla,,,,yes,no,unaccepted,,no,,,,,"Ludwig, 1883, who reexamined and pronounced synonymies on all Haacke's collection at Kieler Museum",,,"pdf, xerox",yes,,,47,none,Mauritius,,,,,"Zoological Museum, Kiel",,,,,,,,,,,,,"Haacke, 1880",,
625,no,Aspidochirotida,Holothuriidae,,Holothuria,,macleari,IWP,,,Bell,1884,1884a,Holothuria,Mertensiothuria,hilla,,,,yes,no,unaccepted,,no,,,,,Panning 1935a,,,xerox,yes,,,152,"pl 9, fig G","Clairmont and Bird Islands, NE Australia",,,,holotype,,,,London Museum,syntypes,,,,,,,,,"Bell, 1884",,
1066,no,Aspidochirotida,Holothuriidae,,Holothuria (?),,patagonica,EP-S,,,Perrier R,1904,1904a,Holothuria,Mertensiothuria,hilla,,,,yes,no,unaccepted,,no,,,,,"Deichmann, 1938",,,pdf,yes,,"ossicles dissolved, but ""unquestionably hilla""",14,,Santa Cruz (Patagonia) = Chile,,,,holotype,,,,,,,,,,,,,,"Perrier, 1904",,
103,no,Aspidochirotida,Holothuriidae,,Holothuria,,Fasciola,IWP,,,Quoy & Gaimard,1834,1833a,Holothuria,Mertensiothuria,hilla?,,,,yes,nomen dubium,nomen dubium,,no,,,,Cherbonnier 1952c,,,,pdf,yes,"Panning 1935a lists it as syn of hilla, but type lost (Cherbonnier 1952c) and plate (Cherbonnier 1952c) does not match hilla, though Cherbonnier also puts it as possible ID",,130-131,,New Ireland,,,,,type (MNHN) lost (Cherbonnier 1952c),,,,,,,,,,,,,,,
1289,yes,Aspidochirotida,Holothuriidae,,Holothuria,,isuga,IWP,,,Mitsukuri,1912,1912a,Holothuria,Mertensiothuria,isuga,1,herein resurrected,,yes,yes,accepted,,yes,y/y,,,current,,,,scan & xerox,yes,,,87-89,text fig 18,"Chinenzaki, Okinawa Island",3,,fathoms,syntypes,TIU,,type listed by Inoue et al 2012a,,,,,,,,,,,"Mitsukuri, 1912",,
143,yes,Aspidochirotida,Holothuriidae,,Stichopus,Gymnochirota,leucospilota,IWP,EP,,Brandt,1835,1835a,Holothuria,Mertensiothuria,leucospilota,1,,,yes,yes,accepted,,yes,y/y,,,"Massin, 1999a",,Solís-Marín et al 2009,,pdf. Scan,yes,,,51,none,Insulae Ualan,,,,,,none designated,,MCZ,"holotype, syntypes","1549, 730, 731, 1352",,,,,,,,"Brandt, 1835",,
278,no,Aspidochirotida,Holothuriidae,,Holothuria,,vagabunda,IWP,,,Selenka,1867,1867a,Holothuria,Mertensiothuria,leucospilota,,,,yes,no,unaccepted,,no,,,,,Panning 1935a,,,xerox & scan,yes,,,334,"pl 19, fig 75-76",South Sea & Sandwich Islands & Society Islands & Java & Zanzibar,,,,syntypes,,,,Göttingen Museum; MCZ,syntypes,"unk; 722, 730",,,,,,,,"Selenka, 1867",,
531,no,Aspidochirotida,Holothuriidae,,Holothuria,,lagoena,IWP,,,Haacke,1880,1880a,Holothuria,Mertensiothuria,leucospilota,,,,yes,no,unaccepted,,no,,,,,,,"Ludwig 1883a, Erwe 1913a","pdf, xerox",yes,,"dried out small type redescribed in Ludwig, 1883, who considers species valid though notes similarity of ossicles to vagabunda, but differences in calc ring.  Also commented on by Erwe 1913a",48,none,Mauritius,,,,,,,,,,,,,,,,,,"Haacke, 1880",,
632,no,Aspidochirotida,Holothuriidae,,Holothuria,,longipes,IWP,,,H. & E. in Lampert,1885,1885a,Holothuria,Mertensiothuria,leucospilota,,,,nomen nudum,no,nomen nudum,,no,,,nomen nudum,,,,,pdf,yes,"Name listed without description under Holothuria lagoena Haacke, as ""syn. Hol. longipes H. et E. Berl. Mus M.S.""",,71,,,,,,,,,,,,,,,,,,,,"Unknown in Lampert, 1885",,
771,no,Aspidochirotida,Holothuriidae,,Holothuria,,lamperti,IWP,,,Ludwig,1887,1887b,Holothuria,Mertensiothuria,leucospilota,,,,yes,no,unaccepted,,no,,,,,Rowe 1969a,,,pdf,yes,,,6-7,,Philippines,,,,holotype,,,,,,,,,,,,,,"Ludwig, 1886",,
783,no,Aspidochirotida,Holothuriidae,,Holothuria,,oxurropa,IWP,,,Sluiter,1887,1887a,Holothuria,Mertensiothuria,leucospilota,,,,yes,no,unaccepted,,no,,,,,Rowe 1969a,,,pdf,yes,,,190-191,"pl I, fig 3-5","Batavia Bay, Koralleninseln",,,,,,No. 170,,Zoologisch Museum Amsterdam,syntypes,"ZMA.E2493, ZMA.E2501","Jangoux, 1991",,,,,,,"Sluiter, 1887",,
992,no,Aspidochirotida,Holothuriidae,,Holothuria,,infesta,IWP,,,Sluiter,1901,1901a,Holothuria,Mertensiothuria,leucospilota,,,,yes,no,unaccepted,,no,,,,,"Deichman, 1958",,,"pdf, scan",yes,,"not that close to leucospilota, needs to be checked",20,"pl. 6, fig. 4","Siboga St. 43, Sarasa",30,,m,holotype,,,1 specimen,Zoologisch Museum Amsterdam,holotype,ZMA.E1169,"Jangoux, 1991",,,,,,,"Sluiter, 1901",,
1630,no,Aspidochirotida,Holothuriidae,,Holothuria,,homoea,IWP,,,Clark,1938,1938a,Holothuria,Mertensiothuria,leucospilota,,,,yes,no,unaccepted,,no,,,,,Deichmann 1958 accroding to Rowe &Gates 1995,,,original & scan,yes,,,533-535,fig 56,"Neds Beach, Lord Howe Island",,,,holotype,,,,MCZ,holotype,1549,,,,,,,,"Clark, 1938",,
1672,no,Aspidochirotida,Holothuriidae,,Holothuria,,gelatinosa,IWP,,,Heding,1939,1939a,Holothuria,Mertensiothuria,leucospilota,,,,yes,no,unaccepted,,no,,,,,Rowe 1969a,,,"xerox, scan",yes,,,213-216,fig 1-17,the tropical area of the Pacific Ocean,,,,holotype,,,,,,,,,,,,,,"Heding, 1939",,
1573,no,Aspidochirotida,Holothuriidae,,Halodeima,,dicorona,IWP,,,Heding,1934,1934a,Holothuria,Mertensiothuria,leucospilota?,,,,yes,no?,unaccepted,,no,,,,,"Cherbonnier & Féral, 1985",,,pdf & scan,yes,,"his use of Halodeima appears to match Holothuria in the broad sense; syn by C&F may be off, as color of specimen not perfect fit, though ossicles reasonable, plus Heding also had vagabunda in paper",24-25,fig. 5,Hong Kong,,,,syntypes,,,2 specimens,,,,,,,,,,,"Heding, 1934",,
1670,no,Aspidochirotida,Holothuriidae,,Holothuria,,papillifera,IWP,,,Heding in Mortensen,1938,1938a,Holothuria,Mertensiothuria,papillifera or aphanes,,,,yes,yes/no,species inquirenda,,no,,,,,Samyn & Massin 2003a,,,scan,no,close to and potentially synonymous with H. anaphes (Samyn & Massin 2003),,55-56,"pl. 11, fig. 1-3",Abu Sadaf & Abu Sanadir,,,,syntypes,,,,,,,,,,,,,,"Heding, 1938",,
380,yes,Aspidochirotida,Holothuriidae,,Holothuria,,aculeata,IWP,,,Semper,1868,1868a,Holothuria,Metriatyla,aculeata,need,,,yes,yes,accepted,,yes,,,,Massin et al 2009a,,,,"scan, xerox",yes,"only known from type, which is close enough to scabra and lessoni that this species is dubious in validity",,84-85,"pl 24; pl 30, fig 19",Bohol,6,8,fathoms,,,,,Moscow Museum,holotype,,,,,,,,,"Semper, 1868",,
381,yes,Aspidochirotida,Holothuriidae,,Holothuria,,albiventer,IWP,,,Semper,1868,1868a,Holothuria,Metriatyla,albiventer,1,,,yes,yes,accepted,,yes,y/y,,,Cherbonnier 1988a,,,,"scan, xerox",yes,,,83-84,"pl 30, fig 14; pl 35 fig 5",Bohol & Ambon,,,,syntypes,,,,Berlin Museum; London Museum; Moscow Museum,syntypes; syntype; syntype,,,,,,,,,"Semper, 1868",,
1273,yes,Aspidochirotida,Holothuriidae,,Holothuria,,brauni,IWP,,,Helfer,1912,1912b,Holothuria,Metriatyla,brauni,need,,,yes,yes,accepted,,,,,,,,,,"pdf, scan",yes,,,90-94,fig. 1-16,Suez,,,,holotype,,"notes there is only 1 specimen, thus holotype",,,,,,,,,,,,"Helfer, 1912",,
1629,yes,Aspidochirotida,Holothuriidae,,Holothuria,,conica,IWP,,,Clark,1938,1938a,Holothuria,Metriatyla,conica,need,,,yes,yes,accepted,,yes,,,,Rowe & Gates 1995a,,"Rowe, 1969",,original & scan,yes,,,531-533,fig 55,"Quail Island, 35 mi W of Darwin",,,,holotype,,,,MCZ,holotype,1547,,,,,,,,"Clark, 1938",,
